,num__age,num__fnlwgt,num__education_num,num__capital_gain,num__capital_loss,num__hours_per_week,cat__workclass_?,cat__workclass_Federal-gov,cat__workclass_Local-gov,cat__workclass_Never-worked,cat__workclass_Private,cat__workclass_Self-emp-inc,cat__workclass_Self-emp-not-inc,cat__workclass_State-gov,cat__workclass_Without-pay,cat__education_10th,cat__education_11th,cat__education_12th,cat__education_1st-4th,cat__education_5th-6th,cat__education_7th-8th,cat__education_9th,cat__education_Assoc-acdm,cat__education_Assoc-voc,cat__education_Bachelors,cat__education_Doctorate,cat__education_HS-grad,cat__education_Masters,cat__education_Preschool,cat__education_Prof-school,cat__education_Some-college,cat__marital_status_Divorced,cat__marital_status_Married-AF-spouse,cat__marital_status_Married-civ-spouse,cat__marital_status_Married-spouse-absent,cat__marital_status_Never-married,cat__marital_status_Separated,cat__marital_status_Widowed,cat__occupation_?,cat__occupation_Adm-clerical,cat__occupation_Armed-Forces,cat__occupation_Craft-repair,cat__occupation_Exec-managerial,cat__occupation_Farming-fishing,cat__occupation_Handlers-cleaners,cat__occupation_Machine-op-inspct,cat__occupation_Other-service,cat__occupation_Priv-house-serv,cat__occupation_Prof-specialty,cat__occupation_Protective-serv,cat__occupation_Sales,cat__occupation_Tech-support,cat__occupation_Transport-moving,cat__relationship_Husband,cat__relationship_Not-in-family,cat__relationship_Other-relative,cat__relationship_Own-child,cat__relationship_Unmarried,cat__relationship_Wife,cat__race_Amer-Indian-Eskimo,cat__race_Asian-Pac-Islander,cat__race_Black,cat__race_Other,cat__race_White,cat__sex_Female,cat__sex_Male,cat__native_country_?,cat__native_country_Cambodia,cat__native_country_Canada,cat__native_country_China,cat__native_country_Columbia,cat__native_country_Cuba,cat__native_country_Dominican-Republic,cat__native_country_Ecuador,cat__native_country_El-Salvador,cat__native_country_England,cat__native_country_France,cat__native_country_Germany,cat__native_country_Greece,cat__native_country_Guatemala,cat__native_country_Haiti,cat__native_country_Holand-Netherlands,cat__native_country_Honduras,cat__native_country_Hong,cat__native_country_Hungary,cat__native_country_India,cat__native_country_Iran,cat__native_country_Ireland,cat__native_country_Italy,cat__native_country_Jamaica,cat__native_country_Japan,cat__native_country_Laos,cat__native_country_Mexico,cat__native_country_Nicaragua,cat__native_country_Outlying-US(Guam-USVI-etc),cat__native_country_Peru,cat__native_country_Philippines,cat__native_country_Poland,cat__native_country_Portugal,cat__native_country_Puerto-Rico,cat__native_country_Scotland,cat__native_country_South,cat__native_country_Taiwan,cat__native_country_Thailand,cat__native_country_Trinadad&Tobago,cat__native_country_United-States,cat__native_country_Vietnam,cat__native_country_Yugoslavia
seed_0,0.16841533664637637,0.20541602242299692,0.049856517462186355,0.06299538089414428,0.021845172741942025,0.09829371220479953,0.002813073195722703,0.004987100891738254,0.007053364126924418,6.704855103733611e-05,0.013179502290919439,0.005878815526214721,0.008289609758773096,0.0058610891940854394,6.915558924309762e-05,0.0027029876022219503,0.003076710658034037,0.0014694246095250448,0.0005737047970240588,0.0012120943582113574,0.002463982263280224,0.0019602603463359726,0.003222538134260907,0.00403611540114221,0.008053368213196981,0.002313488281090759,0.008310422661803167,0.006331808921089949,0.00026910141515478533,0.003055278254235187,0.007117583200365551,0.006318856609156628,0.0004274453891252982,0.036352183026588894,0.0014706818158182545,0.01529934755368173,0.002492210492201851,0.0024275923593804955,0.0028990732524965235,0.007997728997333477,8.137408434052875e-06,0.008463520770313614,0.013405325933854947,0.004651952108647829,0.004685053649738053,0.006119128923034083,0.008152369959166047,0.0008082845079689331,0.012336416852951577,0.0033431689486361675,0.009195411710007503,0.005511384669316284,0.005499596348378888,0.024541670707317956,0.009902827935733154,0.0028218504486405595,0.008594161321745465,0.005698666314926333,0.006532583069250519,0.0017379603583754849,0.003550044676982345,0.006945540580651472,0.001534200360605732,0.009049560576206811,0.00881892313348022,0.007820821130654796,0.0033835691927718388,0.0002538826667247814,0.0013821289849915354,0.0005210369523983917,0.000605281886858568,0.0009925272575954636,0.0003373458626460705,0.00038345962646281836,0.0005671584259625724,0.0010713024597897613,0.00038658705451249985,0.0013914868373231424,0.0004024439418189436,0.0004038820918685502,0.00028975291608183967,6.161895279994387e-05,3.114188286783096e-05,0.0002119294379113121,4.6598835246061154e-05,0.0007402992745179269,0.00042155684639816007,0.00022537573648051125,0.0009393092375065653,0.0006272719955832604,0.0008180005373433909,0.00015267391209264662,0.0024933504209766967,0.00026369368686024333,1.783112130589494e-05,0.00038251055161282895,0.0012221295046257429,0.000667215895454673,0.0004447956241063918,0.0006457275151357016,9.936096470198542e-05,0.0008123815311598516,0.00039824258683729874,0.00022391184818574907,0.00026125827321572115,0.008152141042785313,0.0002919016268025153,0.00037247248480103275
seed_1,0.170157312121428,0.207896336560215,0.04671176165797793,0.06342354725363152,0.024830382110169,0.09752031982651163,0.0027749715951665144,0.005480639141776461,0.007383614541033427,4.400136079637645e-06,0.012992166187653514,0.0059246296001811425,0.008248705634835282,0.005907617468140679,0.00018650540451929838,0.002309850327544556,0.0028870189147469495,0.0015978670599291823,0.0006526997934330988,0.001087072163761346,0.002463788431400455,0.0017249024881361146,0.003192221317420088,0.003953887114015136,0.008933126993956167,0.0025887224732461032,0.008846403025192219,0.005763557791624118,0.00020698613053906145,0.00384298875515866,0.0071467781070413535,0.005661573979246437,0.00023498986523020303,0.038755594612164025,0.0015796436253289272,0.012384633708576419,0.0028615153438599356,0.0022718890408612597,0.0028441621398345783,0.007611220999375072,8.266310025897088e-05,0.00870770061117267,0.013518568458308415,0.004823902179958293,0.004280502228303974,0.005419315732827395,0.00795911497366953,0.0005399207517483465,0.013689451473238017,0.003393191397335977,0.008963959069143096,0.005578402293348974,0.006202605261468552,0.025834018767959464,0.008613261600171736,0.00231218053657617,0.007146142477725805,0.005224443269652311,0.006969679293060511,0.001921997777303599,0.003631807828183765,0.007339754127085889,0.0015977552000068286,0.009034603560197845,0.008667055649540244,0.007423563012658643,0.003135644275864095,0.00018784971340744596,0.0008833882338803536,0.0005077586963551159,0.0004636607687226857,0.0008693339628142309,0.000427826276959408,0.00042196194125864643,0.000490765241948564,0.0012001031130960847,0.00027461407409490036,0.0013367829424864688,0.00036185882400842286,0.0003045653998620566,0.00026715239728013787,3.3138326089571745e-07,0.00022433356333095185,0.00028756745799122206,0.00019202338385151645,0.0006669763784084083,0.0005059058273749635,0.00012569357921580465,0.0006623949178048806,0.0005619158051658762,0.0006452466161065329,0.0001172595089325427,0.0023551611324518877,0.0002981088802884309,6.694775742549298e-05,0.0001912610378631574,0.0010261078918743767,0.0003974836584617918,0.0002303573107997407,0.0009714404381478051,0.00011346239340205429,0.0006690526482231136,0.0003630829832392739,8.613018076589195e-05,0.0001402200306679471,0.00738013331693479,0.0004962916429186164,0.0003702803412078733
seed_2,0.16963770791382118,0.20802498150891868,0.04478537308369759,0.06388006254199069,0.024619058365202354,0.09732899480171688,0.0027813883666335517,0.0055350357465503465,0.007222274692396755,5.7893223727037496e-05,0.013149741664422999,0.005334853080900572,0.008788900277071627,0.005886821023534273,6.763716699043986e-05,0.002471314044284283,0.00273057401910017,0.0014443353531206908,0.0006068337204815038,0.0011319603014565544,0.0022324807152687602,0.0019166948276206272,0.003213374508369599,0.003730106307896302,0.009113458957589487,0.002196074330318749,0.008316210516899925,0.006028025440762543,0.00023757167750579765,0.004086437471804892,0.007121830874871906,0.006616768183785935,0.00033452013759373007,0.03562890314575186,0.0015254442625873977,0.017477755862058107,0.0027123470170994286,0.0022621055183877103,0.00261535134624477,0.008442438820924084,8.501317106511502e-05,0.008400666704786274,0.01533023593037976,0.00474148586337402,0.004590787123887421,0.005676358365544697,0.008011306504408088,0.0004147040775295938,0.01141752503454063,0.0035643298584967916,0.0089324200660402,0.005333597271496887,0.005893416621870432,0.02439381057305066,0.009157199464528972,0.002911418669937519,0.007755086333779329,0.005574775145706178,0.006791360851576755,0.0017549913316358575,0.003437530217656338,0.006484154062827856,0.0016699024454706174,0.00870410491098276,0.00853587662640834,0.008000661631478756,0.0035014393562695038,0.00025176863028116475,0.0010576570673714826,0.00040836627252419767,0.0007863872698182753,0.0009482639573236488,0.0003677596972040468,0.00021374275502954442,0.0006246243694762868,0.0007818434016329087,0.00027883445688988643,0.001162777210412096,0.000269646534296312,0.00027830608356131377,0.0003793825252250446,4.388374196225451e-06,9.042741707195414e-05,0.00017527270729754627,0.0002048427203999327,0.0006026596556700656,0.00046047021199795103,0.00031081050376398855,0.0006926532896712957,0.00044619866993998985,0.0005553411756611484,1.9586426357109406e-05,0.0025133268871463644,0.00020495496610132226,0.0003658991371531795,0.00022861320814327615,0.0012005354771638134,0.0007580420370966043,0.0002644412833454351,0.0007791370738872117,0.00011159979522012928,0.0005770560557639127,0.0005568808600665409,0.00011950104424385305,7.402111484773664e-05,0.007813506728488462,0.000498563503356062,0.00020411041081332847
seed_3,0.16850468759286186,0.20755879659533907,0.045486291877281905,0.06374759878972733,0.024133131546123947,0.09682088011959107,0.002682412149247067,0.005088447196376277,0.006945007218792165,9.37119494606559e-05,0.012837957346071304,0.006389562247740728,0.008748734095230814,0.005613780735300199,5.2763513444530215e-05,0.002539122758782907,0.002645294017338014,0.001698527272402157,0.0005595877721201898,0.0010955836910651496,0.00209440194881286,0.0018838486216189412,0.003096372790409096,0.003931810363131447,0.008036698898123593,0.0022767570271342136,0.00804751954180333,0.006067259724300287,0.0002173822615982531,0.004021180594797038,0.006904645470062982,0.006902591150302972,0.00039727631861931925,0.03455062062628205,0.001470957613682231,0.015806673734765044,0.00271791195991534,0.002292017079756476,0.002671105188167622,0.007925917532127425,0.00013713944751585956,0.008678975646111668,0.01302559834819327,0.004578484448546392,0.00472591162720758,0.006120284883236113,0.008111178442035781,0.0006176983600398371,0.012261736937962148,0.0034009578716253717,0.008940337794641585,0.005493614919499962,0.0053108934559204625,0.028028524294257808,0.009216083152748602,0.0025918266975953346,0.007372482007508746,0.00561888734127478,0.006739662411464899,0.0019302872925573125,0.0038269890615493943,0.007669205472005388,0.0015635661874730713,0.009492346928028306,0.008048862627118682,0.008681060928865777,0.0032932611037281355,0.00024053602109639353,0.0013748761925514573,0.0006844903020744202,0.0005805452108775568,0.0007241581578562301,0.0005094706574630877,0.0002614260512041732,0.0006137925061633876,0.0008340860653051165,0.0002458391521000858,0.0013925904398633512,0.0003472512024273603,0.00043356947130039505,0.00043675307997108364,5.304728269083846e-07,0.00016513335635920514,0.00015311017963689163,0.00022820280004436156,0.0008552773120993467,0.00039428831498404787,8.809751095762424e-05,0.0009108814228537632,0.0007049600917196017,0.0006834502344575002,0.00013197979610353369,0.0028907716816608253,0.00023184595637460492,0.0002771547835091832,0.00021213001139927862,0.001095091169381753,0.000706103175222701,0.0003169630649223565,0.0009042078291475304,0.00022466160206027443,0.000764779606239834,0.00044419233782222434,9.177108696536492e-05,9.1778994245073e-05,0.008124631262821144,0.00045013488233100555,0.00014780193517989663
seed_4,0.168212148223518,0.20811543316517134,0.04944720604316922,0.06527427019507807,0.024635227721101237,0.09889326633303523,0.0025360747772778477,0.005234002202381539,0.007209087488165445,1.1581818122084177e-05,0.013234560778884828,0.0056457296273767004,0.008421070877518302,0.005946382417311676,6.51257706549561e-05,0.0023367016707702645,0.002553313281662391,0.0015325084412298382,0.0005507004225084906,0.0010751689255588013,0.0022537985153130904,0.0017842055996888065,0.0032710704279098686,0.00383212718052245,0.008376442069918116,0.002510088707597178,0.008053223217436711,0.005389585238127289,0.00014784308303534568,0.0031054197929302886,0.0067922627033632985,0.0062552027700799265,0.00039876802428025703,0.03267536035298067,0.0015884931026163042,0.01480326608341645,0.0027483624146066974,0.0021132022159137424,0.0026094201198336455,0.007734734798137265,1.0279128260259451e-05,0.008469502685578594,0.01457657167267974,0.004710883608535118,0.004741911142720587,0.005799590020608114,0.0074628986291581,0.0004682579702679398,0.011678818987344599,0.0037809058816099107,0.009163772582926784,0.0051844784709423365,0.005821678998100396,0.02919255752870264,0.00859584859101962,0.0025339019715893917,0.007133730838124057,0.005263804554640319,0.007137281387156482,0.0020002596159653854,0.003521222864212166,0.006883744607927687,0.0012526689705689973,0.00885976205790631,0.007734872704935593,0.008307041705685438,0.0038358172901671018,0.00027659139363174024,0.0013795849023652876,0.0005348370267623811,0.0006134746325253736,0.0009915372865872106,0.0004284203675160838,0.00022709255858151012,0.0005794706020123141,0.0008797773229718849,0.0003014234304508414,0.0013048240549865188,0.0002651161505221701,0.0004226588440209094,0.0001341981662155523,,0.00011038394500500482,0.0002615934265681626,0.00013226044941167162,0.0007534135024769715,0.0004775419953514128,9.992276139912239e-05,0.0009903270601583007,0.0006317138436190828,0.000710471280917691,6.690677153466841e-05,0.0021703521997980635,0.0004128336457926834,0.00011970150071299953,0.00020677995348008198,0.0011318170474211655,0.0005170302285236953,0.000273131475784199,0.0008335728319947899,9.060518000430717e-05,0.0008586687915189161,0.0004012680409717088,0.00010302090571907534,0.00010049895808267563,0.008009688924583707,0.00048557002113830796,0.00021741745334435348
