corruption_type,corruption_level,stability_mean,stability_std
label_noise,0.0,0.8386683433841111,0.011432559683883679
label_noise,0.05,0.5783547845195792,0.020820331491975066
label_noise,0.1,0.4616149202447753,0.08241025164190385
label_noise,0.2,0.2554469499938075,0.08565126344686066
