,num__age,num__fnlwgt,num__education_num,num__capital_gain,num__capital_loss,num__hours_per_week,cat__workclass_?,cat__workclass_Federal-gov,cat__workclass_Local-gov,cat__workclass_Never-worked,cat__workclass_Private,cat__workclass_Self-emp-inc,cat__workclass_Self-emp-not-inc,cat__workclass_State-gov,cat__workclass_Without-pay,cat__education_10th,cat__education_11th,cat__education_12th,cat__education_1st-4th,cat__education_5th-6th,cat__education_7th-8th,cat__education_9th,cat__education_Assoc-acdm,cat__education_Assoc-voc,cat__education_Bachelors,cat__education_Doctorate,cat__education_HS-grad,cat__education_Masters,cat__education_Preschool,cat__education_Prof-school,cat__education_Some-college,cat__marital_status_Divorced,cat__marital_status_Married-AF-spouse,cat__marital_status_Married-civ-spouse,cat__marital_status_Married-spouse-absent,cat__marital_status_Never-married,cat__marital_status_Separated,cat__marital_status_Widowed,cat__occupation_?,cat__occupation_Adm-clerical,cat__occupation_Armed-Forces,cat__occupation_Craft-repair,cat__occupation_Exec-managerial,cat__occupation_Farming-fishing,cat__occupation_Handlers-cleaners,cat__occupation_Machine-op-inspct,cat__occupation_Other-service,cat__occupation_Priv-house-serv,cat__occupation_Prof-specialty,cat__occupation_Protective-serv,cat__occupation_Sales,cat__occupation_Tech-support,cat__occupation_Transport-moving,cat__relationship_Husband,cat__relationship_Not-in-family,cat__relationship_Other-relative,cat__relationship_Own-child,cat__relationship_Unmarried,cat__relationship_Wife,cat__race_Amer-Indian-Eskimo,cat__race_Asian-Pac-Islander,cat__race_Black,cat__race_Other,cat__race_White,cat__sex_Female,cat__sex_Male,cat__native_country_?,cat__native_country_Cambodia,cat__native_country_Canada,cat__native_country_China,cat__native_country_Columbia,cat__native_country_Cuba,cat__native_country_Dominican-Republic,cat__native_country_Ecuador,cat__native_country_El-Salvador,cat__native_country_England,cat__native_country_France,cat__native_country_Germany,cat__native_country_Greece,cat__native_country_Guatemala,cat__native_country_Haiti,cat__native_country_Holand-Netherlands,cat__native_country_Honduras,cat__native_country_Hong,cat__native_country_Hungary,cat__native_country_India,cat__native_country_Iran,cat__native_country_Ireland,cat__native_country_Italy,cat__native_country_Jamaica,cat__native_country_Japan,cat__native_country_Laos,cat__native_country_Mexico,cat__native_country_Nicaragua,cat__native_country_Outlying-US(Guam-USVI-etc),cat__native_country_Peru,cat__native_country_Philippines,cat__native_country_Poland,cat__native_country_Portugal,cat__native_country_Puerto-Rico,cat__native_country_Scotland,cat__native_country_South,cat__native_country_Taiwan,cat__native_country_Thailand,cat__native_country_Trinadad&Tobago,cat__native_country_United-States,cat__native_country_Vietnam,cat__native_country_Yugoslavia
seed_0,0.17425821610280998,0.047480817996293376,0.3606280025075392,0.6470172499922903,0.1437972738970051,0.19044712673622793,0.08212190555280233,0.21380517618673603,0.0813850007607413,0.04869906831636904,0.04733561690697887,0.24432095479139293,0.1349357974315393,0.12364863600764855,0.6554027828802759,0.22462712304917584,0.1378243772090229,0.2383785296985918,0.20809632674295422,0.02544870076037046,0.10547205467069592,0.028249553121405167,0.37930062756548977,0.15221082612810186,0.08563564785067423,0.17003050292899238,0.1655659277251894,0.19514205557981978,0.07218268835432629,0.10477923816741487,0.08663702133675344,0.29679333339850994,0.8488794423481765,0.3322228147111831,0.42245213842873536,0.36910832722433534,0.3846586698273042,0.23142309461202684,0.03342283723643297,0.05094202911601349,0.22473239661794406,0.09025644880449693,0.3962171066791675,0.6698013083702495,0.3825254482737346,0.19159057457080095,0.32256503993285757,0.414580269824197,0.2550794956172753,0.17192985187184343,0.09558406754749804,0.3393200491855008,0.2302080642344811,0.13679958074521473,0.42363457619257283,0.27429484776234536,0.3295987981916982,0.28498448081182887,0.652379815781708,0.23316278413655467,0.001751775159952994,0.08718409669938172,0.2127935532717286,0.011558902836086895,0.3872047993509953,0.13612850708052496,0.20775115399679087,0.3699755749284495,0.25762914172022844,0.7051198247521613,0.4971567527687476,0.2847208862799872,0.6730427380532453,0.32385661278186423,0.30456658101199996,0.4443402056207104,0.16874992809226036,0.24603416951007923,0.3225509369322279,0.27829134055047877,0.2958189463141105,0.23537006631405957,0.3263299231804406,0.28467615280387243,0.13217651156336946,0.16952604912701288,0.14733073250244427,0.22329329842163628,0.8047057862949342,0.2838668480448434,0.9413591300779965,0.11725679992128386,0.07203887992616803,0.5629413482976808,0.3411496324931835,0.03176044977033659,0.15955800029635564,0.10569220225289666,0.261919253159963,0.762076151875749,0.14141065003411302,0.2655222970914111,0.061128739525948966,0.17003574493270457,0.16111693665076388,0.09104173088034678,1.3459614446376271,0.06268762381212029
seed_1,0.15955875559623692,0.04539109323035911,0.2893376235797954,0.6099635555995818,0.17716341461355078,0.15231612535059655,0.09288003605740261,0.33027571830490143,0.0659689032849576,0.10555758314772165,0.032823362071835366,0.18470501132302808,0.23419320668186352,0.04179567527062608,0.5543501461096648,0.3611624788770398,0.21962663669942314,0.0027445609622149553,0.2663957260490144,0.0850647989062115,0.3583805986566301,0.015603191636977874,0.3001450582510441,0.15316680827231283,0.05599911029026353,0.18678872183545145,0.29431908133251444,0.056364839526117955,0.3791720985640646,0.35603607810790827,0.11561619686281613,0.3198484318515288,0.5087792075970291,0.3604413644873065,0.18329123341394093,0.45640740028619337,0.2961281262781063,0.16048683910705216,0.19843761920512604,0.10979888086788733,0.056950676198113434,0.024720773372975565,0.44100671800400165,0.46864399745879054,0.35374257627749,0.2483666388214156,0.19560299827203578,0.30274204652781345,0.36943672423150237,0.21308673832285493,0.15277828568970456,0.3400854833478153,0.10432920144667997,0.07034807984144668,0.28707138336456456,0.4969130731955879,0.3602591232785169,0.20553290088761594,0.73248694203238,0.38128998954456517,0.15304609845240671,0.04160566181736462,0.29034959281392914,0.013257686870987951,0.4734984069841221,0.07344305186836153,0.2553714176562381,0.3102714251887374,0.046762277032627364,0.006892704351064004,0.3348397675264342,0.04469602054705376,0.4489671476877234,0.2854856856317186,0.10161185075079908,0.5144078194030407,0.48016622453798413,0.45705812357511116,0.6017315912341019,0.10815800899475113,0.06329850241124554,0.04641084715534828,0.5276940827861336,0.7466991938694173,0.039754200644553615,0.3242733334684912,0.21754509919752854,0.19599110355508856,0.2399551003948565,0.0021396277395302338,0.19167463607744833,0.301401550739501,0.26485067814126173,0.08496570303459675,0.15668258197039694,0.15039034969476428,0.009453518310786932,0.3907506872628203,0.4272033661825212,0.22163634342084526,0.19524771861917078,0.323054978379808,0.007373341705234877,0.35031751011784473,0.2178653605118499,0.15309196560370653,0.3960491675621325,0.7471291059666717
seed_2,0.17368925047941397,0.03581428698281121,0.28970906382973205,0.8715189109112946,0.1707303857401476,0.191729528227744,0.17004266667545057,0.4045688761006384,0.06168177291057743,0.1122414164366503,0.038021927926751665,0.10677649265174825,0.27291611014383194,0.09367271503351673,0.6323649822905629,0.06141583987459463,0.08285073179950168,0.04107066363721713,0.11301978407795306,0.28103576755760773,0.3079875810827017,0.35650966375504456,0.30813404033407,0.3004050114803531,0.05262072232500077,0.15013563867104285,0.20403166070110035,0.052491711266554796,0.15318036282556974,0.2970350823284606,0.18947510902396267,0.21355988571937493,0.17948340976734828,0.33023611627202015,0.2893754873861569,0.2518932514171516,0.2228650056794519,0.1010954297753996,0.057801250238802754,0.04144049799838867,0.08404299308623443,0.05655587021894059,0.5270963501899173,0.5186074018234946,0.3030889857271264,0.29834076371354723,0.1308082682323334,0.6041376537066212,0.28405681705744606,0.25524507648303224,0.17614576865849882,0.3653209636367003,0.16499182121503675,0.20223033158368045,0.39812549334368164,0.3681198106166254,0.40334750105068984,0.390626219024338,0.7889191585134933,0.32319842730556014,0.23607431900345013,0.1833606579749529,0.14245568979470716,0.03110818055110436,0.4361311176733115,0.1329384162648394,0.15813271865544826,0.6023593229411083,0.18788216539293856,0.26769976200450113,0.5333168298439966,0.10535207980606966,0.46360234803685507,0.05068589932394247,0.18421477964369434,0.1532739046950825,0.5010918404637159,0.09885060188962139,0.27985223077299165,0.23413339129166438,0.47393306771864013,0.05084138255427463,0.02710263398446265,0.4048513902861726,0.2528083365279981,0.1594543967879182,0.037984273975720205,0.32124942580178334,0.08374097099487612,0.12701472823970608,0.5172004170948584,0.4382195922111271,0.3462317659560409,0.42883851141306956,0.43286041845372153,0.4107875109064583,0.49347766055577064,0.5379238813146064,0.17234672737070802,0.24782204256791948,0.3631607777480268,0.3192782824598693,0.2730886260513926,0.22462776618373284,0.6008747705057966,0.12181289229771732,0.07911875968241622,0.3370709549991934
seed_3,0.1728177885588977,0.021338833776714767,0.3116338712765693,0.7569117713019324,0.14809857907800167,0.18278841935066928,0.22081129751123754,0.2646908308436522,0.10597406371485807,0.13915940446408423,0.04965423847381303,0.3440627776564228,0.3572693420698343,0.10690724361976318,0.48519223255761856,0.09001889598751779,0.26444795566454005,0.04251971095813749,0.03909489947236144,0.13377891406335743,0.1068724561997077,0.13635277459707776,0.25077022752372874,0.16049813579575506,0.13046294856022858,0.2123088142968925,0.2605573160687772,0.08843615988669137,0.3614432067461715,0.28307782401180465,0.16107594812869006,0.3000389239233542,0.6541394004407066,0.17848460851562736,0.44129324191112146,0.32778677727442335,0.17376492842905208,0.06832706545373908,0.08165189304715169,0.017871230840199807,0.21937233783452426,0.08553901384954588,0.4143973937240543,0.5043827245170269,0.41148595968512597,0.2430016594365065,0.15483106995985768,0.2706368366670782,0.2472730304891068,0.25623307944305834,0.10919606050566356,0.2861140794313911,0.2417725214606212,0.3077470188791984,0.4117616440937005,0.4068802829336169,0.35501274517693326,0.3978790498432814,0.7851997751330153,0.131925808129574,0.03699864682423952,0.11000120099794523,0.15043969005235105,0.1232188756796925,0.3947567110919668,0.08383021694337638,0.07296015401058026,0.17893639640638193,0.21097698553020203,0.2684760446398271,0.2806798108029964,0.02241463556537866,0.3569782465636126,0.22507117311991492,0.1913752170233631,0.48928885791011195,0.11541882448032309,0.2659286091064598,0.2823436668492597,0.01647479976195823,0.30515255553364656,0.051604161890432286,0.27139280769280555,0.21658237347823753,0.0713137693532841,0.13427083550426105,0.3322560818758086,0.21070790338401224,0.46831476223937735,0.23613185171803763,0.31767265760636937,0.2775977147795262,0.013960133095603136,0.5072687518627264,0.2329009466493152,0.26204554893244647,0.024988611239898963,0.3185201614974613,0.28997721248056435,0.0893515699474817,0.059230843741797254,0.4169212145146154,0.034864564174532854,0.6998275479615966,0.4767216251009892,0.21198025302430928,0.3888213377560328,0.3228842631419706
seed_4,0.184300429947588,0.023100011084004477,0.35700337017596523,0.8664784579711029,0.1797467303308063,0.17998863609259724,0.11825001312698406,0.41193548059236884,0.04710785977117938,0.1333548807072961,0.06512564518059821,0.09936039846975055,0.21199455285545446,0.14218060062548704,0.49848227220903407,0.1535007162921017,0.039696886608744146,0.1497815215514048,0.2389813648190687,0.1778531181092772,0.18602249370968982,0.19508079254404134,0.2722156975203895,0.14733420841490222,0.07835623751972781,0.23031186559779643,0.14279303421878084,0.03704821185523718,0.06614770009236841,0.15135618038600018,0.1118655075326901,0.3519639490347157,0.7250466467724644,0.39591691187435973,0.31103738392839797,0.41438109366135945,0.22834009004837044,0.39018969702673445,0.2516048938342809,0.08320075106004969,0.11402021101958744,0.012717039524353298,0.48036946529999053,0.6526478631824634,0.27420456152089745,0.24485170902074777,0.20157661484469863,0.21202548434712348,0.2562383275578853,0.34295588164792196,0.19525972993270033,0.3095504887595332,0.11247341989656479,0.09683239115690323,0.2642319242634643,0.4395085902014434,0.28744412967811367,0.26822236087636836,0.5876259588097746,0.037517247926529836,0.0011393914673144588,0.1997477929322498,0.27794218592069714,0.060880819740562746,0.3953024336983785,0.17964622135434044,0.1855504667292356,0.5061455578220329,0.5283284209568818,0.45894997293010015,0.03965916613185578,0.26134340044097326,0.21526074307752657,0.2403804030193837,0.06308678264564294,0.34170583126457377,0.149777122616882,0.035204818082512586,0.2731976708912005,0.39854511517595764,0.7280825918300997,,0.019453397180385263,0.16810073266392764,0.23197787323358093,0.2621020999769931,0.4822667285605829,0.24507966252604524,0.33235886377374046,0.28794895709774876,0.6245835082575723,0.23944567006215617,0.14430061361645322,0.26423139369562487,0.13393697563680076,0.23664153390006848,0.36267214031657796,0.19054396580699506,0.21985308113156868,0.08265286253726802,0.24655678720040666,1.0337938830938573,0.11362360171770594,0.08212517742377028,0.2114271612262447,0.1346034445768137,0.30040988083280684,0.00576352626171268
